SAPCE1 Personal consumption expenditures (PCE) by major type of product 1
SAPCE1 Personal consumption expenditures (PCE) by major type of product 1
State or DC
GeoFIPS,GeoName,2021,2022,2023,2024
00000,United States *,13.3,9.7,6.5,5.6
01000,Alabama,13.1,8.4,6.8,5.4
02000,Alaska,13.3,9.3,6.8,5.8
04000,Arizona,15.1,11.2,6.9,6.7
05000,Arkansas,13.0,8.0,5.7,4.8
06000,California,14.2,9.9,6.5,5.6
08000,Colorado,15.2,11.1,6.6,5.7
09000,Connecticut,11.4,7.5,5.8,4.9
10000,Delaware,14.5,9.5,6.7,5.8
11000,District of Columbia,12.9,9.0,6.7,6.6
12000,Florida,15.9,12.4,8.6,7.0
13000,Georgia,14.7,10.1,6.9,6.0
15000,Hawaii,12.2,9.1,6.1,5.4
16000,Idaho,18.2,12.2,6.0,6.5
17000,Illinois,12.0,9.6,5.9,5.4
18000,Indiana,12.4,10.5,5.6,5.4
19000,Iowa,11.9,8.1,4.8,4.4
20000,Kansas,10.3,9.5,5.6,4.8
21000,Kentucky,12.8,8.6,6.4,4.5
22000,Louisiana,12.4,7.5,5.3,4.5
23000,Maine,13.4,9.4,6.7,6.0
24000,Maryland,11.5,8.5,6.0,5.5
25000,Massachusetts,12.8,8.9,6.6,6.1
26000,Michigan,11.8,7.8,4.9,4.8
27000,Minnesota,12.2,9.2,5.0,5.4
28000,Mississippi,11.9,8.6,5.0,4.3
29000,Missouri,11.9,9.1,7.1,4.7
30000,Montana,16.4,10.5,5.8,6.5
31000,Nebraska,13.2,9.1,5.7,5.5
32000,Nevada,15.2,11.3,6.1,6.0
33000,New Hampshire,11.1,10.6,5.3,5.9
34000,New Jersey,13.9,8.1,6.2,5.5
35000,New Mexico,14.2,9.1,5.5,4.9
36000,New York,10.8,9.2,7.2,5.7
37000,North Carolina,14.9,10.3,7.3,6.1
38000,North Dakota,9.4,7.7,6.8,4.6
39000,Ohio,11.3,8.4,5.4,5.0
40000,Oklahoma,12.8,9.2,6.0,5.1
41000,Oregon,13.3,9.7,6.1,5.1
42000,Pennsylvania,11.1,10.1,5.0,5.1
44000,Rhode Island,13.2,7.3,5.9,5.8
45000,South Carolina,14.1,10.6,7.2,6.2
46000,South Dakota,12.7,9.2,5.2,5.1
47000,Tennessee,14.1,10.3,6.9,5.6
48000,Texas,14.5,10.6,6.9,6.1
49000,Utah,17.0,11.9,6.0,6.0
50000,Vermont,9.5,8.3,6.5,5.7
51000,Virginia,12.5,9.1,6.8,5.4
53000,Washington,13.4,9.7,6.2,5.9
54000,West Virginia,10.2,7.8,6.1,5.2
55000,Wisconsin,12.5,9.5,5.7,4.9
56000,Wyoming,11.4,9.5,5.8,5.7
91000,New England,12.3,8.7,6.3,5.7
92000,Mideast,11.7,9.1,6.3,5.5
93000,Great Lakes,11.9,9.0,5.5,5.1
94000,Plains,11.8,9.0,5.8,5.0
95000,Southeast,14.2,10.3,7.3,6.0
96000,Southwest,14.5,10.5,6.7,6.1
97000,Rocky Mountain,15.9,11.3,6.3,6.0
98000,Far West,14.0,9.9,6.4,5.6

Legend/Footnotes
1. All personal consumption expenditures (PCE) estimates are in millions of current dollars (not adjusted for inflation). Calculations are performed on unrounded data.
"* For the personal consumption expenditures, goods, nondurable goods, and other nondurable goods categories, the difference between the United States and sum-of-states reflects the net expenditures abroad by U.S. residents which consists of government and private employees' expenditures abroad less personal remittances in kind to nonresidents."
"  Last updated: September 26, 2025-- new statistics for 2024; revised statistics for 2020-2023."
