"Industry Code","Industry","Category","Type","Valuation","Statistic","Period","Value"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2021Q1","22680.7"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2021Q2","23425.9"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2021Q3","23982.4"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2021Q4","24813.6"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2022Q1","25250.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2022Q2","25861.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2022Q3","26336.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2022Q4","26770.5"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2023Q1","27216.4"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2023Q2","27530.1"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2023Q3","28074.8"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2023Q4","28424.7"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2024Q1","28708.2"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2024Q2","29147.0"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2024Q3","29511.7"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2024Q4","29825.2"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2025Q1","30042.1"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2025Q2","30485.7"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2025Q3","31098.0"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","Gross Domestic Product","2025Q4","31422.5"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2021Q1","282.2"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2021Q2","313.7"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2021Q3","345.0"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2021Q4","403.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2022Q1","420.9"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2022Q2","513.6"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2022Q3","496.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2022Q4","436.9"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2023Q1","403.6"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2023Q2","386.4"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2023Q3","424.0"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2023Q4","433.2"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2024Q1","406.2"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2024Q2","418.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2024Q3","403.3"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2024Q4","389.2"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2025Q1","411.1"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2025Q2","376.0"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2025Q3","379.1"
"21","Mining","VA","Nominal Dollars","[Billions of dollars] Seasonally adjusted at annual rates (All Industries)","VA Current Dollar","2025Q4","370.9"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2021Q1","1.2"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2021Q2","1.3"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2021Q3","1.4"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2021Q4","1.6"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2022Q1","1.7"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2022Q2","2.0"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2022Q3","1.9"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2022Q4","1.6"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2023Q1","1.5"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2023Q2","1.4"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2023Q3","1.5"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2023Q4","1.5"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2024Q1","1.4"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2024Q2","1.4"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2024Q3","1.4"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2024Q4","1.3"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2025Q1","1.4"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2025Q2","1.2"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2025Q3","1.2"
"21","Mining","VA","Percent","[Percent] (All Industries)","VA Percent of GDP","2025Q4","1.2"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2021Q1","21082.1"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2021Q2","21440.9"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2021Q3","21617.8"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2021Q4","21988.7"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2022Q1","21932.7"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2022Q2","21967.0"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2022Q3","22125.6"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2022Q4","22278.3"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2023Q1","22439.6"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2023Q2","22580.5"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2023Q3","22841.0"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2023Q4","23033.8"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2024Q1","23082.1"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2024Q2","23286.5"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2024Q3","23478.6"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2024Q4","23586.5"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2025Q1","23548.2"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2025Q2","23771.0"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2025Q3","24026.8"
"21","Mining","VA","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","Real GDP","2025Q4","24055.7"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2021Q1","295.2"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2021Q2","280.7"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2021Q3","276.8"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2021Q4","266.2"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2022Q1","245.2"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2022Q2","236.6"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2022Q3","252.9"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2022Q4","285.2"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2023Q1","311.8"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2023Q2","356.7"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2023Q3","371.0"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2023Q4","372.0"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2024Q1","361.5"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2024Q2","362.5"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2024Q3","365.9"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2024Q4","361.0"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2025Q1","343.2"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2025Q2","365.7"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2025Q3","369.6"
"21","Mining","VA_DD","Real Dollars","[Billions of 2017 chain dollars] (All Industries)","VA Chained 2017 $","2025Q4","375.2"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2021Q1","5.7"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2021Q2","7.0"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2021Q3","3.3"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2021Q4","7.0"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2022Q1","-1.0"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2022Q2","0.6"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2022Q3","2.9"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2022Q4","2.8"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q1","2.9"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q2","2.5"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q3","4.7"
"21","Mining","VA","Percent Change","[Percent change] Seasonally adjusted at annual rates (All Industries)","GDP Quantity % Change","2023Q4","3.4"
