SQGDP2 Gross domestic product (GDP) by state 1
SQGDP2 Gross domestic product (GDP) by state 1
State or DC
GeoFIPS,GeoName,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3,2025:Q4
00000,United States *,242863.0,147350.0,196033.0,225129.0,282198.0,313729.0,345045.0,403334.0,420912.0,513633.0,496340.0,436892.0,403631.0,386371.0,424049.0,433225.0,406190.0,418263.0,403323.0,389216.0,411077.0,376031.0,379094.0,370940.0
01000,Alabama,1740.1,1256.4,1734.2,1716.1,1951.6,1856.5,1884.2,2292.0,2580.0,3067.1,2961.6,2493.2,2693.5,2406.0,2697.6,2707.8,2570.9,2695.7,2551.1,2522.6,2643.7,2421.4,2434.2,2413.6
02000,Alaska,6002.5,4139.8,5492.9,5825.8,7410.7,8398.4,9776.7,11389.6,10389.5,12470.5,11738.8,10026.0,9095.8,8748.9,9525.8,10008.1,9364.7,10291.8,9791.6,9667.6,10718.9,9466.7,9594.6,9409.3
04000,Arizona,4707.0,3540.4,5197.5,5908.6,7893.1,7339.9,6701.7,7328.9,7039.6,7677.7,6591.0,5933.6,5980.6,5928.8,6986.6,6730.2,6177.1,6772.2,6353.0,6265.5,6548.3,6096.5,6181.7,6176.9
05000,Arkansas,770.7,510.1,677.3,746.5,818.6,865.6,897.6,971.8,968.5,1140.8,1061.0,939.1,881.7,891.4,988.0,1027.9,910.0,931.0,881.8,831.5,905.7,837.2,843.9,837.3
06000,California,7908.9,5401.3,7690.4,7589.9,8754.6,9278.3,10001.1,11773.5,11129.2,12925.2,11492.3,11245.2,9745.6,9873.3,11148.1,11015.4,10066.1,10192.0,9788.0,10330.9,13309.8,11846.1,12061.2,11887.9
08000,Colorado,11939.2,5949.8,7864.9,9358.2,13160.2,14321.0,16327.0,19577.4,20382.6,23701.9,23872.2,20361.9,17848.1,17859.8,19715.6,18586.0,16801.6,17740.1,17200.5,17133.6,17921.2,16423.3,16623.2,16169.9
09000,Connecticut,(D),(D),(D),(D),171.7,157.1,140.1,117.8,(D),(D),(D),(D),155.8,167.0,186.1,242.6,241.9,258.8,255.7,259.5,279.4,244.5,247.4,242.5
10000,Delaware,5.9,4.0,5.1,4.9,5.9,5.6,5.6,5.9,6.3,7.0,6.0,4.9,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
11000,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000,Florida,1427.3,1124.2,1562.7,1334.3,1370.8,1196.7,1095.1,1197.5,1320.8,1468.0,1382.8,1184.1,1315.5,1230.7,1460.9,1655.9,1611.7,1836.8,1812.3,1761.5,1800.4,1633.8,1627.8,1610.8
13000,Georgia,1569.7,1182.5,1616.1,1695.1,1866.8,1915.3,2025.0,2057.8,2042.4,2583.2,2504.6,1956.1,1911.8,1727.7,1840.5,1980.4,1866.1,2060.9,1940.6,1932.4,2059.0,1865.2,1889.0,1829.6
15000,Hawaii,73.2,54.3,78.9,79.0,84.8,79.0,77.4,83.6,82.5,93.5,87.4,74.8,74.4,79.8,89.5,96.4,92.9,97.8,101.2,99.7,101.9,92.7,93.9,92.1
16000,Idaho,568.0,496.4,753.3,821.0,1100.2,817.6,1056.0,953.2,842.5,848.3,859.9,817.9,979.1,1194.3,1345.9,1571.0,(D),(D),(D),(D),(D),(D),(D),(D)
17000,Illinois,1644.2,1042.1,1375.2,1373.3,1551.5,1544.7,1628.3,1808.1,1866.4,2251.2,2165.7,2023.9,2045.4,2123.6,2277.9,2444.9,2203.7,2335.5,2270.8,2112.9,2200.7,1963.0,1975.9,1917.6
18000,Indiana,(D),(D),(D),(D),1318.4,1288.6,1344.3,1460.6,(D),(D),(D),(D),1811.0,1911.3,2122.4,2232.9,2027.6,2046.3,1948.5,1854.8,1964.9,1823.2,1858.0,1807.3
19000,Iowa,536.2,385.3,513.2,557.9,590.8,600.0,588.6,573.8,503.1,509.5,440.1,427.3,441.7,487.3,547.9,553.2,476.6,458.3,419.5,380.5,387.2,328.8,330.4,324.2
20000,Kansas,1116.7,733.8,973.1,977.4,1234.1,1272.7,1348.8,1446.6,1643.5,1745.7,1690.4,1436.8,1303.1,1274.0,1337.8,1373.0,1241.5,1294.5,1258.6,1222.0,1339.3,1230.7,1213.1,1179.9
21000,Kentucky,1882.2,1175.4,1734.8,1752.8,1836.9,1767.4,1821.3,2080.9,2085.5,2837.6,2854.7,2653.3,2765.3,2817.9,3110.1,3190.9,2938.3,2863.5,2671.4,2416.0,2456.7,2202.7,2202.3,2126.7
22000,Louisiana,7757.1,4776.4,5856.9,6674.0,7927.1,9496.4,10309.3,12118.9,12426.3,15593.0,15542.0,13509.8,12670.2,12075.0,13003.0,13817.6,12089.3,12171.7,11413.5,10630.8,11557.2,10583.2,10706.2,10289.4
23000,Maine,65.1,53.7,79.8,74.3,76.5,64.0,56.2,52.3,(D),(D),(D),(D),42.3,46.4,57.2,67.8,(D),(D),(D),(D),(D),(D),(D),(D)
24000,Maryland,311.9,202.3,280.2,281.6,286.2,296.8,294.1,314.8,275.6,296.6,309.6,295.8,316.4,314.5,345.3,359.7,347.0,386.2,351.4,344.2,328.7,305.3,309.7,307.3
25000,Massachusetts,209.2,138.6,163.8,148.6,140.6,137.2,137.1,128.5,119.9,135.1,124.3,126.7,143.5,169.4,217.3,253.0,257.1,290.0,289.5,295.4,313.7,277.8,279.2,278.7
26000,Michigan,1613.1,980.6,1524.0,1689.1,1932.2,1810.7,1746.8,1717.2,1809.9,2010.1,1903.3,1856.3,2028.6,2124.8,2364.2,2384.6,1984.6,1946.9,1715.8,1591.1,1643.2,1512.8,1508.8,1486.4
27000,Minnesota,2414.4,1458.6,1748.5,1723.9,1984.3,2053.7,1745.4,1916.8,1853.3,2201.2,2249.0,2234.6,2577.9,2776.7,3447.1,3284.6,2774.7,2689.1,2411.0,2299.2,2301.8,2122.5,2120.6,2123.7
