SARPI Real personal income and real personal consumption expenditures (PCE) by state
SARPI Real personal income and real personal consumption expenditures (PCE) by state
State or DC
GeoFIPS,GeoName,2020,2021,2022,2023,2024
00000,United States,41007,44542,45617,46400,47304
01000,Alabama,38164,41079,41604,41942,42875
02000,Alaska,45158,47362,49913,50628,52421
04000,Arizona,39144,43910,43643,44027,45148
05000,Arkansas,37985,40706,41922,42442,43027
06000,California,40786,45177,46302,47607,49345
08000,Colorado,43660,48543,50537,51683,52141
09000,Connecticut,46829,50818,49427,51058,52013
10000,Delaware,44490,47954,48255,48477,48724
11000,District of Columbia,60427,65272,65418,67343,68952
12000,Florida,42506,46442,47394,47827,48963
13000,Georgia,38900,42053,42900,43275,44344
15000,Hawaii,37251,40529,42240,43705,44649
16000,Idaho,36487,39973,41136,41258,40728
17000,Illinois,41849,44927,46566,48603,49033
18000,Indiana,39820,42437,44166,44583,44899
19000,Iowa,40019,43314,44608,44609,45584
20000,Kansas,40014,42855,44868,45292,45862
21000,Kentucky,39195,42375,42998,43550,43859
22000,Louisiana,39284,42535,43663,45248,46253
23000,Maine,45119,48912,48132,50568,52530
24000,Maryland,39239,42136,43301,44177,44924
25000,Massachusetts,46242,51191,50876,52774,55011
26000,Michigan,41686,44990,45795,45779,45548
27000,Minnesota,42704,45649,47228,47124,47912
28000,Mississippi,36655,39266,39590,40302,40868
29000,Missouri,41797,44870,46402,47597,48442
30000,Montana,43855,48496,50238,50337,49980
31000,Nebraska,41622,45631,47646,47921,48922
32000,Nevada,40068,44740,45855,45607,45376
33000,New Hampshire,46662,50768,49799,51482,53486
34000,New Jersey,42252,46895,47622,48192,48956
35000,New Mexico,36530,41001,41507,42029,42196
36000,New York,41555,45028,47338,48670,49772
37000,North Carolina,40896,43494,44280,44859,45721
38000,North Dakota,46901,49841,51467,52740,52803
39000,Ohio,41337,44172,45237,45563,45941
40000,Oklahoma,37151,39880,41007,41565,42638
41000,Oregon,39106,42476,42373,43982,45493
42000,Pennsylvania,43241,46816,48436,48281,49112
44000,Rhode Island,40594,43916,43198,44956,45888
45000,South Carolina,40202,42249,43188,43716,44355
46000,South Dakota,43292,47045,48736,48788,49384
47000,Tennessee,39918,43460,43787,44423,45336
48000,Texas,38961,42538,43818,44333,45040
49000,Utah,38309,42673,44087,43823,43086
50000,Vermont,44235,47837,47454,50595,51699
51000,Virginia,40679,43280,44293,45624,46567
53000,Washington,40957,44145,44655,46024,47482
54000,West Virginia,40988,41795,43433,44251,45435
55000,Wisconsin,41771,44952,46460,46668,47012
56000,Wyoming,46225,49485,50486,51285,51944

Legend/Footnotes
4. Real per capita personal consumption expenditures for states is real personal consumption expenditures divided by total midyear population.
"  Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
