SARPI Real personal income and real personal consumption expenditures (PCE) by state
SARPI Real personal income and real personal consumption expenditures (PCE) by state
State or DC
GeoFIPS,GeoName,2021,2022,2023,2024
00000,United States,8.6,2.4,1.7,1.9
01000,Alabama,7.6,1.3,0.8,2.2
02000,Alaska,4.9,5.4,1.4,3.5
04000,Arizona,12.2,-0.6,0.9,2.5
05000,Arkansas,7.2,3.0,1.2,1.4
06000,California,10.8,2.5,2.8,3.7
08000,Colorado,11.2,4.1,2.3,0.9
09000,Connecticut,8.5,-2.7,3.3,1.9
10000,Delaware,7.8,0.6,0.5,0.5
11000,District of Columbia,8.0,0.2,2.9,2.4
12000,Florida,9.3,2.0,0.9,2.4
13000,Georgia,8.1,2.0,0.9,2.5
15000,Hawaii,8.8,4.2,3.5,2.2
16000,Idaho,9.6,2.9,0.3,-1.3
17000,Illinois,7.4,3.6,4.4,0.9
18000,Indiana,6.6,4.1,0.9,0.7
19000,Iowa,8.2,3.0,0.0,2.2
20000,Kansas,7.1,4.7,0.9,1.3
21000,Kentucky,8.1,1.5,1.3,0.7
22000,Louisiana,8.3,2.7,3.6,2.2
23000,Maine,8.4,-1.6,5.1,3.9
24000,Maryland,7.4,2.8,2.0,1.7
25000,Massachusetts,10.7,-0.6,3.7,4.2
26000,Michigan,7.9,1.8,0.0,-0.5
27000,Minnesota,6.9,3.5,-0.2,1.7
28000,Mississippi,7.1,0.8,1.8,1.4
29000,Missouri,7.4,3.4,2.6,1.8
30000,Montana,10.6,3.6,0.2,-0.7
31000,Nebraska,9.6,4.4,0.6,2.1
32000,Nevada,11.7,2.5,-0.5,-0.5
33000,New Hampshire,8.8,-1.9,3.4,3.9
34000,New Jersey,11.0,1.6,1.2,1.6
35000,New Mexico,12.2,1.2,1.3,0.4
36000,New York,8.4,5.1,2.8,2.3
37000,North Carolina,6.4,1.8,1.3,1.9
38000,North Dakota,6.3,3.3,2.5,0.1
39000,Ohio,6.9,2.4,0.7,0.8
40000,Oklahoma,7.3,2.8,1.4,2.6
41000,Oregon,8.6,-0.2,3.8,3.4
42000,Pennsylvania,8.3,3.5,-0.3,1.7
44000,Rhode Island,8.2,-1.6,4.1,2.1
45000,South Carolina,5.1,2.2,1.2,1.5
46000,South Dakota,8.7,3.6,0.1,1.2
47000,Tennessee,8.9,0.8,1.5,2.1
48000,Texas,9.2,3.0,1.2,1.6
49000,Utah,11.4,3.3,-0.6,-1.7
50000,Vermont,8.1,-0.8,6.6,2.2
51000,Virginia,6.4,2.3,3.0,2.1
53000,Washington,7.8,1.2,3.1,3.2
54000,West Virginia,2.0,3.9,1.9,2.7
55000,Wisconsin,7.6,3.4,0.4,0.7
56000,Wyoming,7.1,2.0,1.6,1.3

Legend/Footnotes
4. Real per capita personal consumption expenditures for states is real personal consumption expenditures divided by total midyear population.
"  Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
